field,desc,note
cycle_total_operating_expenditures,"decimal(20,2)",see description provided by FEC
period_total_parties,"decimal(20,2)",see description provided by FEC
cycle_total_parties,"decimal(20,2)",see description provided by FEC
period_total_receipts,"decimal(20,2)",see description provided by FEC
cycle_total_receipts,"decimal(20,2)",see description provided by FEC
period_total_refunds,"decimal(20,2)",see description provided by FEC
cycle_total_refunds,"decimal(20,2)",see description provided by FEC
period_total_transfers_from_auth_comms,"decimal(20,2)",see description provided by FEC
cycle_total_transfers_from_auth_comms,"decimal(20,2)",see description provided by FEC
period_total_transfers_to_auth_comms,"decimal(20,2)",see description provided by FEC
cycle_total_transfers_to_auth_comms,"decimal(20,2)",see description provided by FEC
period_total_unitemized_indiv,"decimal(20,2)",see description provided by FEC
cycle_total_unitemized_indiv,"decimal(20,2)",see description provided by FEC
period_transfers_from_nonfederal_h3,"decimal(20,2)",see description provided by FEC
cycle_transfers_from_nonfederal_h3,"decimal(20,2)",see description provided by FEC
period_transfers_to_affiliated,"decimal(20,2)",see description provided by FEC
cycle_transfers_to_affiliated,"decimal(20,2)",see description provided by FEC
